Date,Open,High,Low,Close,Volume
2023-01-06 10:08:00,1.05544,1.05576,1.05517,1.05557,0.0
2023-01-06 10:09:00,1.05558,1.05589,1.05542,1.05576,0.0
2023-01-06 10:10:00,1.05578,1.05704,1.05568,1.05688,0.0
2023-01-06 10:11:00,1.05688,1.05725,1.05659,1.05672,0.0
2023-01-06 10:12:00,1.05672,1.05744,1.05668,1.05695,0.0
2023-01-06 10:13:00,1.05694,1.0577,1.05694,1.05738,0.0
2023-01-06 10:14:00,1.05737,1.05739,1.05669,1.05672,0.0
2023-01-06 10:15:00,1.05678,1.05796,1.05676,1.05781,0.0
2023-01-06 10:16:00,1.05781,1.05876,1.05746,1.05868,0.0
2023-01-06 10:17:00,1.05869,1.05916,1.05861,1.05895,0.0
2023-01-06 10:18:00,1.05891,1.05901,1.0587,1.059,0.0
2023-01-06 10:19:00,1.05899,1.05973,1.05895,1.05966,0.0
2023-01-06 10:20:00,1.05966,1.05989,1.05916,1.05917,0.0
2023-01-06 10:21:00,1.05915,1.05936,1.05878,1.05908,0.0
2023-01-06 10:22:00,1.05912,1.05966,1.05912,1.05964,0.0
2023-01-06 10:23:00,1.05963,1.05993,1.05917,1.05938,0.0
2023-01-06 10:24:00,1.05939,1.05997,1.05937,1.0598,0.0
2023-01-06 10:25:00,1.0598,1.05994,1.05913,1.05931,0.0
2023-01-06 10:26:00,1.05929,1.05945,1.0592,1.05926,0.0
2023-01-06 10:27:00,1.05925,1.05926,1.05864,1.05877,0.0
2023-01-06 10:28:00,1.05877,1.05884,1.05863,1.05877,0.0
2023-01-06 10:29:00,1.05878,1.05884,1.05812,1.05814,0.0
2023-01-06 10:30:00,1.05814,1.05879,1.05801,1.05868,0.0
2023-01-06 10:31:00,1.05869,1.05882,1.05825,1.05868,0.0
2023-01-06 10:32:00,1.05867,1.05873,1.05845,1.05854,0.0
2023-01-06 10:33:00,1.05854,1.05917,1.0585,1.05887,0.0
2023-01-06 10:34:00,1.05886,1.05901,1.05864,1.05888,0.0
2023-01-06 10:35:00,1.0589,1.05925,1.05886,1.05922,0.0
2023-01-06 10:36:00,1.0592,1.05954,1.05893,1.05937,0.0
2023-01-06 10:37:00,1.0594,1.05954,1.05932,1.05944,0.0
2023-01-06 10:38:00,1.05946,1.05962,1.05937,1.05946,0.0
2023-01-06 10:39:00,1.05946,1.06042,1.05942,1.06029,0.0
2023-01-06 10:40:00,1.06028,1.06049,1.06008,1.06012,0.0
